Jour;jour_annee;tmax;tmin
01 JANVIER;1;1.96;-2.16
02 JANVIER;2;2.43;-1.76
03 JANVIER;3;2.48;-1.25
04 JANVIER;4;2.15;-2.03
05 JANVIER;5;1.69;-2.35
06 JANVIER;6;1.59;-2.32
07 JANVIER;7;1.01;-2.84
08 JANVIER;8;0.69;-2.93
09 JANVIER;9;0.94;-2.72
10 JANVIER;10;1.37;-2.2
11 JANVIER;11;1.83;-2.27
12 JANVIER;12;1.42;-3.25
13 JANVIER;13;1.59;-3.28
14 JANVIER;14;2.36;-2.97
15 JANVIER;15;2.23;-2.0
16 JANVIER;16;2.21;-1.95
17 JANVIER;17;1.81;-2.32
18 JANVIER;18;1.38;-2.91
19 JANVIER;19;1.58;-2.78
20 JANVIER;20;1.85;-2.16
21 JANVIER;21;2.46;-1.69
22 JANVIER;22;3.06;-1.37
23 JANVIER;23;3.44;-0.64
24 JANVIER;24;3.02;-0.86
25 JANVIER;25;3.58;-0.53
26 JANVIER;26;3.59;-0.44
27 JANVIER;27;3.7;-0.26
28 JANVIER;28;3.68;-0.46
29 JANVIER;29;3.98;-1.14
30 JANVIER;30;3.62;-1.06
31 JANVIER;31;3.7;-0.9
01 FÉVRIER;32;3.73;-1.79
02 FÉVRIER;33;4.13;-1.4
03 FÉVRIER;34;3.6;-0.67
04 FÉVRIER;35;4.02;-1.12
05 FÉVRIER;36;4.65;-1.05
06 FÉVRIER;37;4.86;-0.19
07 FÉVRIER;38;5.05;0.37
08 FÉVRIER;39;4.81;-0.04
09 FÉVRIER;40;4.62;-0.63
10 FÉVRIER;41;4.17;-1.22
11 FÉVRIER;42;3.7;-1.02
12 FÉVRIER;43;4.13;-1.35
13 FÉVRIER;44;3.85;-1.39
14 FÉVRIER;45;3.22;-2.01
15 FÉVRIER;46;3.39;-2.58
16 FÉVRIER;47;3.48;-2.82
17 FÉVRIER;48;3.2;-2.46
18 FÉVRIER;49;3.64;-1.88
19 FÉVRIER;50;3.72;-1.62
20 FÉVRIER;51;4.57;-1.18
21 FÉVRIER;52;5.15;-1.16
22 FÉVRIER;53;5.55;-1.21
23 FÉVRIER;54;5.49;-1.25
24 FÉVRIER;55;5.71;-1.13
25 FÉVRIER;56;5.86;-0.8
26 FÉVRIER;57;5.51;-0.71
27 FÉVRIER;58;5.55;-0.93
28 FÉVRIER;59;5.31;-0.76
29 FÉVRIER;60;5.79;-0.49
01 MARS;61;5.76;-0.14
02 MARS;62;6.14;-0.79
03 MARS;63;5.67;-0.61
04 MARS;64;6.16;-0.68
05 MARS;65;6.37;-0.71
06 MARS;66;6.81;-0.21
07 MARS;67;7.38;0.06
08 MARS;68;7.9;0.58
09 MARS;69;8.04;0.38
10 MARS;70;7.99;1.36
11 MARS;71;7.99;1.09
12 MARS;72;7.3;0.71
13 MARS;73;7.56;1.19
14 MARS;74;8.97;1.65
15 MARS;75;8.7;1.58
16 MARS;76;8.52;1.49
17 MARS;77;8.36;1.58
18 MARS;78;7.87;1.41
19 MARS;79;8.23;0.81
20 MARS;80;9.71;2.2
21 MARS;81;9.35;1.77
22 MARS;82;8.83;1.85
23 MARS;83;9.93;2.44
24 MARS;84;10.51;2.58
25 MARS;85;10.42;2.7
26 MARS;86;10.08;2.67
27 MARS;87;9.64;2.36
28 MARS;88;9.76;2.75
29 MARS;89;10.01;2.86
30 MARS;90;10.58;3.31
31 MARS;91;11.1;2.83
01 AVRIL;92;11.21;3.6
02 AVRIL;93;10.81;3.32
03 AVRIL;94;10.1;2.78
04 AVRIL;95;10.84;2.8
05 AVRIL;96;10.35;3.21
06 AVRIL;97;11.99;3.2
07 AVRIL;98;12.27;3.97
08 AVRIL;99;11.62;3.17
09 AVRIL;100;11.91;3.59
10 AVRIL;101;11.51;3.13
11 AVRIL;102;10.99;3.32
12 AVRIL;103;11.52;3.02
13 AVRIL;104;11.19;2.76
14 AVRIL;105;12.85;3.43
15 AVRIL;106;13.73;4.46
16 AVRIL;107;14.03;4.77
17 AVRIL;108;14.1;4.49
18 AVRIL;109;13.85;4.47
19 AVRIL;110;13.88;4.58
20 AVRIL;111;14.31;4.85
21 AVRIL;112;14.56;5.55
22 AVRIL;113;14.68;5.96
23 AVRIL;114;13.95;5.13
24 AVRIL;115;12.89;5.06
25 AVRIL;116;12.49;4.59
26 AVRIL;117;12.55;4.14
27 AVRIL;118;13.37;4.02
28 AVRIL;119;13.2;4.98
29 AVRIL;120;13.34;4.84
30 AVRIL;121;14.68;5.57
01 MAI;122;15.04;6.05
02 MAI;123;15.0;6.06
03 MAI;124;14.71;7.01
04 MAI;125;15.75;6.82
05 MAI;126;15.62;7.31
06 MAI;127;16.36;6.8
07 MAI;128;16.53;7.38
08 MAI;129;16.98;7.85
09 MAI;130;16.09;7.84
10 MAI;131;15.47;7.12
11 MAI;132;16.87;7.1
12 MAI;133;17.56;7.75
13 MAI;134;17.66;8.09
14 MAI;135;16.93;8.24
15 MAI;136;17.9;7.73
16 MAI;137;17.9;8.45
17 MAI;138;18.07;8.6
18 MAI;139;18.42;8.82
19 MAI;140;18.28;8.83
20 MAI;141;16.87;8.44
21 MAI;142;16.82;8.1
22 MAI;143;17.02;7.8
23 MAI;144;17.16;7.48
24 MAI;145;17.4;8.4
25 MAI;146;18.18;9.26
26 MAI;147;18.14;9.34
27 MAI;148;17.64;8.5
28 MAI;149;17.67;8.94
29 MAI;150;18.19;8.74
30 MAI;151;18.32;9.19
31 MAI;152;18.67;9.59
01 JUIN;153;18.75;9.75
02 JUIN;154;18.38;9.34
03 JUIN;155;18.71;9.61
04 JUIN;156;19.09;10.19
05 JUIN;157;19.28;10.44
06 JUIN;158;18.5;10.07
07 JUIN;159;18.78;10.02
08 JUIN;160;19.41;10.2
09 JUIN;161;20.02;10.45
10 JUIN;162;19.39;10.29
11 JUIN;163;19.65;10.92
12 JUIN;164;20.63;10.56
13 JUIN;165;20.95;11.41
14 JUIN;166;20.93;11.21
15 JUIN;167;19.94;11.03
16 JUIN;168;19.93;10.82
17 JUIN;169;19.52;10.84
18 JUIN;170;20.07;11.07
19 JUIN;171;20.09;11.39
20 JUIN;172;20.29;11.57
21 JUIN;173;20.71;11.61
22 JUIN;174;21.29;11.73
23 JUIN;175;20.04;11.52
24 JUIN;176;21.0;11.46
25 JUIN;177;21.63;12.27
26 JUIN;178;20.77;12.09
27 JUIN;179;20.66;11.46
28 JUIN;180;20.41;11.66
29 JUIN;181;20.46;11.57
30 JUIN;182;21.15;11.66
01 JUILLET;183;22.26;12.1
02 JUILLET;184;22.05;12.61
03 JUILLET;185;20.81;11.89
04 JUILLET;186;21.7;12.1
05 JUILLET;187;22.29;12.83
06 JUILLET;188;21.86;12.49
07 JUILLET;189;21.93;12.62
08 JUILLET;190;22.31;12.82
09 JUILLET;191;22.21;12.97
10 JUILLET;192;22.76;13.0
11 JUILLET;193;22.73;12.97
12 JUILLET;194;22.64;13.2
13 JUILLET;195;22.28;12.74
14 JUILLET;196;21.63;12.23
15 JUILLET;197;21.7;12.74
16 JUILLET;198;21.41;12.74
17 JUILLET;199;21.14;12.37
18 JUILLET;200;21.72;12.44
19 JUILLET;201;21.22;12.64
20 JUILLET;202;21.75;12.31
21 JUILLET;203;22.38;12.75
22 JUILLET;204;22.31;12.88
23 JUILLET;205;22.32;12.39
24 JUILLET;206;22.36;12.47
25 JUILLET;207;22.46;12.46
26 JUILLET;208;22.58;13.53
27 JUILLET;209;23.15;13.13
28 JUILLET;210;22.96;13.32
29 JUILLET;211;23.4;13.55
30 JUILLET;212;24.13;13.57
31 JUILLET;213;23.88;13.61
01 AOÛT;214;23.44;13.26
02 AOÛT;215;22.94;13.68
03 AOÛT;216;22.99;13.84
04 AOÛT;217;23.15;13.39
05 AOÛT;218;23.13;13.39
06 AOÛT;219;22.44;13.01
07 AOÛT;220;22.17;12.71
08 AOÛT;221;22.11;12.32
09 AOÛT;222;22.01;12.93
10 AOÛT;223;22.13;13.26
11 AOÛT;224;22.35;13.35
12 AOÛT;225;22.79;13.3
13 AOÛT;226;23.4;13.53
14 AOÛT;227;23.26;13.69
15 AOÛT;228;22.51;13.53
16 AOÛT;229;20.98;12.44
17 AOÛT;230;21.79;12.31
18 AOÛT;231;22.02;12.69
19 AOÛT;232;21.38;12.6
20 AOÛT;233;21.51;11.86
21 AOÛT;234;20.73;12.17
22 AOÛT;235;20.5;11.43
23 AOÛT;236;20.48;11.52
24 AOÛT;237;20.09;11.0
25 AOÛT;238;21.28;11.71
26 AOÛT;239;20.52;11.81
27 AOÛT;240;20.97;11.33
28 AOÛT;241;22.14;11.68
29 AOÛT;242;21.42;12.05
30 AOÛT;243;20.07;11.36
31 AOÛT;244;19.44;11.0
01 SEPTEMBRE;245;20.59;11.59
02 SEPTEMBRE;246;20.19;11.34
03 SEPTEMBRE;247;19.84;11.03
04 SEPTEMBRE;248;19.86;11.2
05 SEPTEMBRE;249;19.29;10.74
06 SEPTEMBRE;250;18.96;10.25
07 SEPTEMBRE;251;19.58;10.32
08 SEPTEMBRE;252;19.7;10.67
09 SEPTEMBRE;253;19.66;10.22
10 SEPTEMBRE;254;19.46;10.09
11 SEPTEMBRE;255;19.29;10.48
12 SEPTEMBRE;256;18.93;10.6
13 SEPTEMBRE;257;18.53;10.22
14 SEPTEMBRE;258;18.57;10.13
15 SEPTEMBRE;259;18.38;10.04
16 SEPTEMBRE;260;19.3;9.81
17 SEPTEMBRE;261;18.67;10.24
18 SEPTEMBRE;262;18.24;9.78
19 SEPTEMBRE;263;18.47;9.75
20 SEPTEMBRE;264;18.49;10.0
21 SEPTEMBRE;265;17.87;9.8
22 SEPTEMBRE;266;17.68;9.13
23 SEPTEMBRE;267;18.2;9.15
24 SEPTEMBRE;268;17.46;9.14
25 SEPTEMBRE;269;17.28;8.58
26 SEPTEMBRE;270;17.14;9.01
27 SEPTEMBRE;271;17.14;8.85
28 SEPTEMBRE;272;17.3;9.03
29 SEPTEMBRE;273;17.08;8.43
30 SEPTEMBRE;274;15.83;8.5
01 OCTOBRE;275;16.01;8.44
02 OCTOBRE;276;16.06;8.28
03 OCTOBRE;277;16.16;8.34
04 OCTOBRE;278;15.75;8.15
05 OCTOBRE;279;16.2;8.66
06 OCTOBRE;280;15.05;8.28
07 OCTOBRE;281;14.98;7.71
08 OCTOBRE;282;14.56;7.55
09 OCTOBRE;283;15.29;7.9
10 OCTOBRE;284;14.98;7.13
11 OCTOBRE;285;13.79;7.12
12 OCTOBRE;286;14.04;6.89
13 OCTOBRE;287;13.48;6.28
14 OCTOBRE;288;13.44;6.53
15 OCTOBRE;289;13.36;6.08
16 OCTOBRE;290;12.78;5.97
17 OCTOBRE;291;12.58;5.44
18 OCTOBRE;292;12.94;5.52
19 OCTOBRE;293;12.51;5.52
20 OCTOBRE;294;12.44;5.29
21 OCTOBRE;295;11.63;4.99
22 OCTOBRE;296;11.93;5.05
23 OCTOBRE;297;11.84;5.45
24 OCTOBRE;298;11.47;5.38
25 OCTOBRE;299;11.26;5.48
26 OCTOBRE;300;11.29;4.45
27 OCTOBRE;301;11.09;4.84
28 OCTOBRE;302;9.79;4.61
29 OCTOBRE;303;9.53;3.58
30 OCTOBRE;304;9.58;3.86
31 OCTOBRE;305;10.6;4.42
01 NOVEMBRE;306;10.53;4.22
02 NOVEMBRE;307;9.25;3.69
03 NOVEMBRE;308;9.02;2.85
04 NOVEMBRE;309;8.35;2.69
05 NOVEMBRE;310;7.66;2.02
06 NOVEMBRE;311;6.99;1.78
07 NOVEMBRE;312;8.12;2.29
08 NOVEMBRE;313;8.27;3.01
09 NOVEMBRE;314;8.07;3.09
10 NOVEMBRE;315;7.58;2.59
11 NOVEMBRE;316;8.15;2.61
12 NOVEMBRE;317;6.96;1.79
13 NOVEMBRE;318;6.8;1.76
14 NOVEMBRE;319;7.09;1.57
15 NOVEMBRE;320;6.23;1.84
16 NOVEMBRE;321;6.2;1.63
17 NOVEMBRE;322;6.86;1.71
18 NOVEMBRE;323;6.65;1.85
19 NOVEMBRE;324;5.95;1.35
20 NOVEMBRE;325;5.86;0.93
21 NOVEMBRE;326;5.53;1.2
22 NOVEMBRE;327;5.41;0.79
23 NOVEMBRE;328;5.33;0.08
24 NOVEMBRE;329;5.0;0.4
25 NOVEMBRE;330;4.64;0.91
26 NOVEMBRE;331;5.38;0.79
27 NOVEMBRE;332;4.63;0.49
28 NOVEMBRE;333;4.39;-0.61
29 NOVEMBRE;334;4.31;-0.5
30 NOVEMBRE;335;3.95;-0.39
01 DÉCEMBRE;336;4.04;-0.58
02 DÉCEMBRE;337;3.68;-0.82
03 DÉCEMBRE;338;4.31;0.0
04 DÉCEMBRE;339;4.67;-0.27
05 DÉCEMBRE;340;4.08;-0.24
06 DÉCEMBRE;341;4.1;-0.48
07 DÉCEMBRE;342;3.99;-0.38
08 DÉCEMBRE;343;3.47;-0.55
09 DÉCEMBRE;344;3.98;-0.64
10 DÉCEMBRE;345;3.44;-0.67
11 DÉCEMBRE;346;3.36;-0.55
12 DÉCEMBRE;347;3.26;-0.63
13 DÉCEMBRE;348;3.57;-0.85
14 DÉCEMBRE;349;4.1;-0.57
15 DÉCEMBRE;350;3.97;-0.45
16 DÉCEMBRE;351;3.27;-1.37
17 DÉCEMBRE;352;2.66;-1.2
18 DÉCEMBRE;353;2.79;-1.78
19 DÉCEMBRE;354;2.66;-1.19
20 DÉCEMBRE;355;2.83;-1.33
21 DÉCEMBRE;356;3.65;-1.01
22 DÉCEMBRE;357;3.14;-0.98
23 DÉCEMBRE;358;3.33;-0.6
24 DÉCEMBRE;359;3.04;-0.68
25 DÉCEMBRE;360;2.86;-0.75
26 DÉCEMBRE;361;2.49;-1.6
27 DÉCEMBRE;362;2.23;-1.43
28 DÉCEMBRE;363;2.2;-1.66
29 DÉCEMBRE;364;2.29;-1.63
30 DÉCEMBRE;365;2.2;-2.27
31 DÉCEMBRE;366;1.26;-4.11
