Jour;jour_annee;tmax;tmin
01 JANVIER;1;2.26;-2.15
02 JANVIER;2;2.8;-1.84
03 JANVIER;3;3.08;-1.31
04 JANVIER;4;2.48;-2.01
05 JANVIER;5;2.01;-2.31
06 JANVIER;6;1.76;-2.32
07 JANVIER;7;1.12;-3.07
08 JANVIER;8;1.02;-3.39
09 JANVIER;9;1.3;-2.87
10 JANVIER;10;1.5;-2.37
11 JANVIER;11;1.97;-2.5
12 JANVIER;12;1.58;-3.51
13 JANVIER;13;1.83;-3.42
14 JANVIER;14;2.41;-3.14
15 JANVIER;15;2.26;-2.22
16 JANVIER;16;2.39;-2.16
17 JANVIER;17;1.95;-2.39
18 JANVIER;18;1.49;-2.98
19 JANVIER;19;1.69;-2.97
20 JANVIER;20;2.01;-2.25
21 JANVIER;21;2.65;-1.88
22 JANVIER;22;3.44;-1.28
23 JANVIER;23;3.63;-0.51
24 JANVIER;24;3.05;-0.93
25 JANVIER;25;3.94;-0.86
26 JANVIER;26;3.9;-0.55
27 JANVIER;27;3.99;-0.32
28 JANVIER;28;3.91;-0.6
29 JANVIER;29;4.12;-1.17
30 JANVIER;30;3.73;-0.89
31 JANVIER;31;3.89;-1.0
01 FÉVRIER;32;3.94;-2.07
02 FÉVRIER;33;4.4;-1.49
03 FÉVRIER;34;3.74;-0.82
04 FÉVRIER;35;4.21;-1.38
05 FÉVRIER;36;4.62;-1.14
06 FÉVRIER;37;5.12;-0.48
07 FÉVRIER;38;5.25;0.1
08 FÉVRIER;39;4.93;0.04
09 FÉVRIER;40;4.62;-0.62
10 FÉVRIER;41;4.22;-1.22
11 FÉVRIER;42;3.81;-0.92
12 FÉVRIER;43;4.24;-1.33
13 FÉVRIER;44;3.99;-1.25
14 FÉVRIER;45;3.56;-2.2
15 FÉVRIER;46;3.72;-2.74
16 FÉVRIER;47;3.66;-3.06
17 FÉVRIER;48;3.14;-2.54
18 FÉVRIER;49;3.76;-1.78
19 FÉVRIER;50;3.86;-1.57
20 FÉVRIER;51;4.66;-1.14
21 FÉVRIER;52;5.29;-1.07
22 FÉVRIER;53;5.48;-1.41
23 FÉVRIER;54;5.52;-1.18
24 FÉVRIER;55;5.68;-1.5
25 FÉVRIER;56;5.71;-0.92
26 FÉVRIER;57;5.75;-1.01
27 FÉVRIER;58;5.77;-1.08
28 FÉVRIER;59;5.43;-0.8
29 FÉVRIER;60;5.91;-0.62
01 MARS;61;6.01;-0.43
02 MARS;62;6.21;-1.13
03 MARS;63;5.7;-1.01
04 MARS;64;6.34;-0.75
05 MARS;65;6.55;-0.75
06 MARS;66;6.75;-0.48
07 MARS;67;7.59;-0.07
08 MARS;68;7.89;0.05
09 MARS;69;8.11;0.48
10 MARS;70;7.99;1.14
11 MARS;71;7.92;1.02
12 MARS;72;7.38;0.61
13 MARS;73;7.78;0.94
14 MARS;74;8.89;1.51
15 MARS;75;9.06;1.64
16 MARS;76;8.81;1.4
17 MARS;77;8.64;1.6
18 MARS;78;7.86;1.49
19 MARS;79;8.69;0.72
20 MARS;80;9.94;2.08
21 MARS;81;9.54;2.02
22 MARS;82;8.98;2.03
23 MARS;83;10.2;2.1
24 MARS;84;10.7;2.46
25 MARS;85;10.56;2.8
26 MARS;86;10.39;2.67
27 MARS;87;9.94;2.43
28 MARS;88;10.04;2.54
29 MARS;89;10.25;2.77
30 MARS;90;10.66;3.44
31 MARS;91;11.2;2.68
01 AVRIL;92;11.38;3.41
02 AVRIL;93;11.01;3.28
03 AVRIL;94;10.3;2.85
04 AVRIL;95;11.03;2.67
05 AVRIL;96;10.7;3.37
06 AVRIL;97;12.18;3.43
07 AVRIL;98;12.35;4.05
08 AVRIL;99;11.64;3.11
09 AVRIL;100;12.01;3.01
10 AVRIL;101;11.67;2.97
11 AVRIL;102;10.96;2.94
12 AVRIL;103;11.79;3.05
13 AVRIL;104;11.38;2.66
14 AVRIL;105;12.79;3.42
15 AVRIL;106;13.81;4.31
16 AVRIL;107;14.04;4.58
17 AVRIL;108;13.98;4.64
18 AVRIL;109;13.75;4.48
19 AVRIL;110;14.21;4.24
20 AVRIL;111;14.42;4.68
21 AVRIL;112;14.64;5.27
22 AVRIL;113;14.72;5.83
23 AVRIL;114;13.85;5.17
24 AVRIL;115;13.18;4.9
25 AVRIL;116;12.63;4.66
26 AVRIL;117;12.65;4.09
27 AVRIL;118;13.28;3.69
28 AVRIL;119;13.46;4.95
29 AVRIL;120;13.35;4.88
30 AVRIL;121;15.12;5.42
01 MAI;122;15.31;5.85
02 MAI;123;15.26;6.28
03 MAI;124;14.92;6.82
04 MAI;125;15.93;7.05
05 MAI;126;15.63;7.18
06 MAI;127;16.67;6.84
07 MAI;128;16.75;7.46
08 MAI;129;17.12;7.97
09 MAI;130;16.35;7.93
10 MAI;131;15.8;6.87
11 MAI;132;17.15;6.81
12 MAI;133;17.92;7.5
13 MAI;134;17.88;7.9
14 MAI;135;16.94;8.0
15 MAI;136;18.2;7.57
16 MAI;137;18.17;8.17
17 MAI;138;18.46;8.41
18 MAI;139;18.42;8.82
19 MAI;140;18.38;8.76
20 MAI;141;17.2;8.22
21 MAI;142;16.98;8.07
22 MAI;143;16.95;7.84
23 MAI;144;17.21;7.39
24 MAI;145;17.52;8.1
25 MAI;146;18.54;9.35
26 MAI;147;18.35;9.66
27 MAI;148;17.81;8.63
28 MAI;149;17.92;8.54
29 MAI;150;18.44;8.48
30 MAI;151;18.56;9.09
31 MAI;152;19.05;9.69
01 JUIN;153;19.18;9.39
02 JUIN;154;18.81;9.29
03 JUIN;155;19.14;9.93
04 JUIN;156;19.31;9.96
05 JUIN;157;19.23;10.28
06 JUIN;158;18.59;10.08
07 JUIN;159;19.07;10.17
08 JUIN;160;19.52;9.95
09 JUIN;161;20.29;10.4
10 JUIN;162;19.56;10.17
11 JUIN;163;19.92;10.38
12 JUIN;164;20.61;10.37
13 JUIN;165;21.08;10.9
14 JUIN;166;21.32;11.27
15 JUIN;167;20.14;11.04
16 JUIN;168;20.06;10.58
17 JUIN;169;19.76;10.89
18 JUIN;170;20.26;10.92
19 JUIN;171;20.38;11.27
20 JUIN;172;20.89;11.46
21 JUIN;173;21.27;11.68
22 JUIN;174;21.55;11.89
23 JUIN;175;20.44;11.48
24 JUIN;176;21.44;11.28
25 JUIN;177;21.89;12.41
26 JUIN;178;21.14;12.32
27 JUIN;179;20.85;11.31
28 JUIN;180;20.66;11.54
29 JUIN;181;20.86;11.51
30 JUIN;182;21.45;11.51
01 JUILLET;183;22.31;11.83
02 JUILLET;184;22.09;12.51
03 JUILLET;185;21.09;12.18
04 JUILLET;186;21.79;11.91
05 JUILLET;187;22.66;12.45
06 JUILLET;188;22.17;12.4
07 JUILLET;189;22.25;12.5
08 JUILLET;190;22.54;12.66
09 JUILLET;191;22.53;12.99
10 JUILLET;192;22.97;12.8
11 JUILLET;193;23.18;12.86
12 JUILLET;194;22.89;13.11
13 JUILLET;195;22.44;12.84
14 JUILLET;196;21.9;12.32
15 JUILLET;197;21.88;12.37
16 JUILLET;198;21.78;12.85
17 JUILLET;199;21.27;12.11
18 JUILLET;200;21.91;12.08
19 JUILLET;201;21.51;12.2
20 JUILLET;202;21.87;12.07
21 JUILLET;203;22.76;12.43
