Jour;jour_annee;tmax;tmin
01 JANVIER;1;3.67;-1.12
02 JANVIER;2;3.94;-0.71
03 JANVIER;3;4.16;-0.02
04 JANVIER;4;3.73;-1.14
05 JANVIER;5;3.29;-1.28
06 JANVIER;6;3.23;-1.05
07 JANVIER;7;2.43;-1.68
08 JANVIER;8;2.24;-2.33
09 JANVIER;9;2.68;-1.94
10 JANVIER;10;2.94;-1.14
11 JANVIER;11;3.4;-1.47
12 JANVIER;12;2.93;-2.83
13 JANVIER;13;3.36;-2.74
14 JANVIER;14;3.73;-2.17
15 JANVIER;15;3.46;-1.38
16 JANVIER;16;3.84;-1.28
17 JANVIER;17;3.37;-1.36
18 JANVIER;18;2.95;-1.69
19 JANVIER;19;3.1;-1.86
20 JANVIER;20;3.34;-1.02
21 JANVIER;21;4.02;-0.73
22 JANVIER;22;4.76;-0.38
23 JANVIER;23;5.05;0.31
24 JANVIER;24;4.35;0.43
25 JANVIER;25;5.26;0.59
26 JANVIER;26;5.12;0.15
27 JANVIER;27;5.42;0.34
28 JANVIER;28;5.37;0.46
29 JANVIER;29;5.6;-0.14
30 JANVIER;30;5.39;-0.2
31 JANVIER;31;5.42;-0.02
01 FÉVRIER;32;5.29;-1.08
02 FÉVRIER;33;5.86;-0.56
03 FÉVRIER;34;5.18;-0.21
04 FÉVRIER;35;5.64;-0.63
05 FÉVRIER;36;6.03;-0.49
06 FÉVRIER;37;6.46;0.36
07 FÉVRIER;38;6.69;1.16
08 FÉVRIER;39;6.4;1.1
09 FÉVRIER;40;6.08;0.34
10 FÉVRIER;41;5.72;-0.52
11 FÉVRIER;42;5.2;-0.2
12 FÉVRIER;43;5.81;-0.14
13 FÉVRIER;44;5.45;-0.2
14 FÉVRIER;45;5.09;-0.88
15 FÉVRIER;46;5.07;-1.75
16 FÉVRIER;47;5.19;-1.79
17 FÉVRIER;48;4.55;-1.59
18 FÉVRIER;49;5.11;-0.66
19 FÉVRIER;50;5.32;-0.55
20 FÉVRIER;51;6.22;-0.32
21 FÉVRIER;52;6.73;-0.44
22 FÉVRIER;53;6.93;-0.64
23 FÉVRIER;54;6.87;-0.73
24 FÉVRIER;55;7.06;-1.09
25 FÉVRIER;56;7.24;-0.44
26 FÉVRIER;57;7.14;-0.19
27 FÉVRIER;58;7.19;-0.07
28 FÉVRIER;59;6.97;-0.05
29 FÉVRIER;60;7.47;-0.26
01 MARS;61;7.47;-0.13
02 MARS;62;7.69;-0.39
03 MARS;63;7.16;-0.14
04 MARS;64;7.94;0.06
05 MARS;65;8.23;-0.29
06 MARS;66;8.25;-0.35
07 MARS;67;9.06;0.3
08 MARS;68;9.45;0.38
09 MARS;69;9.76;0.86
10 MARS;70;9.69;1.67
11 MARS;71;9.42;1.54
12 MARS;72;8.93;1.41
13 MARS;73;9.02;1.81
14 MARS;74;10.43;1.86
15 MARS;75;10.43;2.11
16 MARS;76;10.13;1.62
17 MARS;77;9.97;2.15
18 MARS;78;9.26;1.9
19 MARS;79;9.99;1.77
20 MARS;80;11.28;2.49
21 MARS;81;11.0;2.65
22 MARS;82;10.4;2.85
23 MARS;83;11.57;2.56
24 MARS;84;12.06;3.11
25 MARS;85;12.03;3.18
26 MARS;86;11.58;3.7
27 MARS;87;11.19;3.29
28 MARS;88;11.54;3.45
29 MARS;89;11.66;3.46
30 MARS;90;11.96;4.25
31 MARS;91;12.71;3.3
01 AVRIL;92;12.84;3.61
02 AVRIL;93;12.37;4.09
03 AVRIL;94;11.59;3.57
04 AVRIL;95;12.38;3.77
05 AVRIL;96;12.28;4.47
06 AVRIL;97;13.6;4.07
07 AVRIL;98;13.69;4.76
08 AVRIL;99;13.07;3.75
09 AVRIL;100;13.21;3.57
10 AVRIL;101;13.09;3.65
11 AVRIL;102;12.54;3.88
12 AVRIL;103;13.11;3.6
13 AVRIL;104;12.78;3.57
14 AVRIL;105;14.28;3.99
15 AVRIL;106;15.02;4.86
16 AVRIL;107;15.56;4.71
17 AVRIL;108;15.29;5.02
18 AVRIL;109;15.3;4.48
19 AVRIL;110;15.78;4.28
20 AVRIL;111;15.84;5.44
21 AVRIL;112;16.2;5.46
22 AVRIL;113;16.3;5.87
23 AVRIL;114;15.65;5.87
24 AVRIL;115;14.51;5.49
25 AVRIL;116;14.25;5.6
26 AVRIL;117;14.12;5.11
27 AVRIL;118;14.93;4.27
28 AVRIL;119;14.97;5.52
29 AVRIL;120;14.93;5.81
30 AVRIL;121;16.42;5.97
01 MAI;122;16.84;6.05
02 MAI;123;16.94;6.57
03 MAI;124;16.47;7.55
04 MAI;125;17.35;7.8
05 MAI;126;17.21;7.67
06 MAI;127;18.22;7.14
07 MAI;128;18.21;8.03
08 MAI;129;18.47;8.07
09 MAI;130;17.84;8.1
10 MAI;131;17.27;7.83
11 MAI;132;18.75;7.64
12 MAI;133;19.58;7.73
13 MAI;134;19.47;8.11
14 MAI;135;18.53;8.42
15 MAI;136;19.67;7.94
16 MAI;137;19.73;9.12
17 MAI;138;20.16;8.93
18 MAI;139;19.96;9.24
19 MAI;140;20.02;9.14
20 MAI;141;18.98;8.7
21 MAI;142;18.6;8.82
22 MAI;143;18.67;8.46
23 MAI;144;18.95;8.08
24 MAI;145;19.13;8.64
25 MAI;146;20.22;9.73
26 MAI;147;19.91;10.16
27 MAI;148;19.29;9.84
28 MAI;149;19.51;9.03
29 MAI;150;20.06;8.94
30 MAI;151;20.06;9.63
31 MAI;152;20.44;10.26
01 JUIN;153;20.7;10.24
02 JUIN;154;20.21;10.07
03 JUIN;155;20.57;10.3
04 JUIN;156;20.76;10.7
05 JUIN;157;20.89;11.07
06 JUIN;158;20.19;10.99
07 JUIN;159;20.5;11.01
08 JUIN;160;20.97;10.66
09 JUIN;161;21.76;11.14
10 JUIN;162;20.94;11.36
11 JUIN;163;21.4;11.19
12 JUIN;164;22.17;11.0
13 JUIN;165;22.71;11.38
14 JUIN;166;22.93;11.48
15 JUIN;167;21.67;11.57
16 JUIN;168;21.87;11.06
17 JUIN;169;21.38;11.69
18 JUIN;170;21.88;11.3
19 JUIN;171;21.91;11.79
20 JUIN;172;22.4;12.0
21 JUIN;173;22.77;12.52
22 JUIN;174;23.26;12.4
23 JUIN;175;22.09;12.22
24 JUIN;176;23.03;11.91
25 JUIN;177;23.43;12.97
26 JUIN;178;22.66;12.9
27 JUIN;179;22.44;11.93
28 JUIN;180;22.25;12.22
29 JUIN;181;22.14;12.66
30 JUIN;182;22.91;12.15
01 JUILLET;183;23.87;12.07
02 JUILLET;184;23.75;12.88
03 JUILLET;185;22.72;12.98
04 JUILLET;186;23.5;12.85
05 JUILLET;187;24.14;13.13
06 JUILLET;188;23.62;12.95
07 JUILLET;189;23.8;13.05
08 JUILLET;190;24.18;13.44
09 JUILLET;191;24.1;13.45
10 JUILLET;192;24.55;13.08
11 JUILLET;193;24.7;13.12
12 JUILLET;194;24.56;13.5
13 JUILLET;195;24.21;13.57
14 JUILLET;196;23.45;13.13
15 JUILLET;197;23.61;12.91
16 JUILLET;198;23.37;13.65
17 JUILLET;199;22.83;13.21
18 JUILLET;200;23.58;12.69
19 JUILLET;201;23.07;13.01
20 JUILLET;202;23.5;12.97
21 JUILLET;203;24.22;13.13
22 JUILLET;204;24.02;13.24
23 JUILLET;205;24.08;13.15
24 JUILLET;206;23.87;12.85
25 JUILLET;207;23.92;12.56
26 JUILLET;208;24.21;13.75
27 JUILLET;209;24.75;13.36
28 JUILLET;210;24.66;13.73
29 JUILLET;211;24.98;13.81
30 JUILLET;212;25.74;13.31
31 JUILLET;213;25.24;13.51
01 AOÛT;214;25.13;13.9
02 AOÛT;215;24.8;14.21
03 AOÛT;216;24.5;14.25
04 AOÛT;217;24.82;13.4
05 AOÛT;218;25.04;13.52
06 AOÛT;219;24.04;13.87
07 AOÛT;220;23.7;13.68
08 AOÛT;221;23.59;12.6
09 AOÛT;222;23.5;13.23
10 AOÛT;223;23.79;13.6
11 AOÛT;224;23.9;13.7
12 AOÛT;225;24.27;13.58
13 AOÛT;226;25.18;14.23
14 AOÛT;227;24.65;14.31
15 AOÛT;228;24.16;14.2
16 AOÛT;229;22.77;13.13
17 AOÛT;230;23.29;12.51
18 AOÛT;231;23.84;12.62
19 AOÛT;232;22.85;13.16
20 AOÛT;233;22.96;12.32
21 AOÛT;234;22.23;12.44
22 AOÛT;235;21.99;11.91
23 AOÛT;236;21.78;12.15
24 AOÛT;237;21.5;11.39
25 AOÛT;238;22.64;11.61
26 AOÛT;239;21.98;11.83
27 AOÛT;240;22.26;11.65
28 AOÛT;241;23.57;11.57
29 AOÛT;242;22.91;12.11
30 AOÛT;243;21.64;11.68
31 AOÛT;244;20.86;11.69
01 SEPTEMBRE;245;22.12;11.99
02 SEPTEMBRE;246;21.81;11.26
03 SEPTEMBRE;247;21.56;11.31
04 SEPTEMBRE;248;21.45;11.66
05 SEPTEMBRE;249;20.98;11.32
06 SEPTEMBRE;250;20.73;10.69
07 SEPTEMBRE;251;21.24;10.63
08 SEPTEMBRE;252;21.35;10.47
09 SEPTEMBRE;253;21.25;10.32
10 SEPTEMBRE;254;20.96;9.95
11 SEPTEMBRE;255;20.77;10.21
12 SEPTEMBRE;256;20.53;10.96
13 SEPTEMBRE;257;20.06;11.01
14 SEPTEMBRE;258;20.04;10.36
15 SEPTEMBRE;259;20.13;10.5
16 SEPTEMBRE;260;20.84;9.2
17 SEPTEMBRE;261;20.16;9.98
18 SEPTEMBRE;262;19.8;9.86
19 SEPTEMBRE;263;20.17;9.45
