Jour;jour_annee;tmax;tmin
01 JANVIER;1;3.64;-1.27
02 JANVIER;2;3.27;-1.25
03 JANVIER;3;3.63;-0.53
04 JANVIER;4;3.6;-1.26
05 JANVIER;5;3.07;-1.3
06 JANVIER;6;2.89;-2.09
07 JANVIER;7;2.17;-2.34
08 JANVIER;8;2.25;-2.33
09 JANVIER;9;3.06;-1.77
10 JANVIER;10;2.97;-1.26
11 JANVIER;11;3.29;-1.25
12 JANVIER;12;3.2;-2.45
13 JANVIER;13;3.15;-2.57
14 JANVIER;14;3.91;-2.49
15 JANVIER;15;4.18;-1.03
16 JANVIER;16;3.78;-1.03
17 JANVIER;17;3.41;-1.65
18 JANVIER;18;2.86;-1.9
19 JANVIER;19;3.28;-2.18
20 JANVIER;20;3.35;-1.0
21 JANVIER;21;3.8;-0.85
22 JANVIER;22;4.44;-0.42
23 JANVIER;23;5.1;0.49
24 JANVIER;24;4.96;0.57
25 JANVIER;25;5.68;0.87
26 JANVIER;26;5.34;0.69
27 JANVIER;27;5.59;1.62
28 JANVIER;28;5.46;1.01
29 JANVIER;29;6.32;0.53
30 JANVIER;30;5.6;0.38
31 JANVIER;31;5.8;0.47
01 FÉVRIER;32;5.46;-1.2
02 FÉVRIER;33;6.43;-0.49
03 FÉVRIER;34;5.33;0.05
04 FÉVRIER;35;5.83;-0.1
05 FÉVRIER;36;6.88;0.26
06 FÉVRIER;37;6.78;0.55
07 FÉVRIER;38;7.18;1.42
08 FÉVRIER;39;7.63;2.34
09 FÉVRIER;40;7.21;1.15
10 FÉVRIER;41;6.6;0.72
11 FÉVRIER;42;6.43;0.46
12 FÉVRIER;43;7.14;1.2
13 FÉVRIER;44;6.55;0.96
14 FÉVRIER;45;5.32;-0.47
15 FÉVRIER;46;5.67;-1.35
16 FÉVRIER;47;5.77;-0.8
17 FÉVRIER;48;5.1;-0.47
18 FÉVRIER;49;5.53;-0.15
19 FÉVRIER;50;5.22;0.25
20 FÉVRIER;51;6.44;0.58
21 FÉVRIER;52;7.47;0.26
22 FÉVRIER;53;7.69;0.02
23 FÉVRIER;54;7.6;-0.2
24 FÉVRIER;55;7.67;-0.1
25 FÉVRIER;56;7.47;-0.13
26 FÉVRIER;57;8.09;-0.18
27 FÉVRIER;58;7.63;-0.02
28 FÉVRIER;59;7.27;-0.49
29 FÉVRIER;60;6.92;-0.32
01 MARS;61;7.56;0.06
02 MARS;62;8.28;0.45
03 MARS;63;7.98;0.42
04 MARS;64;7.82;-0.21
05 MARS;65;8.39;0.03
06 MARS;66;8.98;0.23
07 MARS;67;9.64;0.8
08 MARS;68;10.26;1.02
09 MARS;69;10.57;2.0
10 MARS;70;9.93;2.89
11 MARS;71;9.86;2.37
12 MARS;72;8.93;2.16
13 MARS;73;9.08;2.32
14 MARS;74;10.4;2.92
15 MARS;75;10.42;1.94
16 MARS;76;10.29;2.28
17 MARS;77;9.79;2.8
18 MARS;78;9.01;2.56
19 MARS;79;10.46;1.36
20 MARS;80;11.54;2.68
21 MARS;81;10.85;2.88
22 MARS;82;10.84;2.79
23 MARS;83;11.87;2.45
24 MARS;84;13.04;3.36
25 MARS;85;12.57;3.49
26 MARS;86;11.26;4.14
27 MARS;87;11.28;3.3
28 MARS;88;11.3;3.54
29 MARS;89;11.32;3.38
30 MARS;90;11.63;3.94
31 MARS;91;11.88;3.18
01 AVRIL;92;12.93;3.75
02 AVRIL;93;12.81;4.18
03 AVRIL;94;12.18;3.83
04 AVRIL;95;13.08;4.15
05 AVRIL;96;12.63;4.56
06 AVRIL;97;13.5;3.14
07 AVRIL;98;14.46;4.19
08 AVRIL;99;14.37;3.69
09 AVRIL;100;14.13;3.76
10 AVRIL;101;14.04;3.75
11 AVRIL;102;13.68;4.92
12 AVRIL;103;14.5;4.2
13 AVRIL;104;13.79;4.2
14 AVRIL;105;14.54;4.22
15 AVRIL;106;14.91;5.08
16 AVRIL;107;15.32;4.02
17 AVRIL;108;15.16;5.2
18 AVRIL;109;15.12;4.65
19 AVRIL;110;15.26;4.35
20 AVRIL;111;15.33;4.89
21 AVRIL;112;16.22;5.7
22 AVRIL;113;16.12;6.38
23 AVRIL;114;15.39;6.18
24 AVRIL;115;14.61;5.86
25 AVRIL;116;13.9;5.87
26 AVRIL;117;13.57;4.66
27 AVRIL;118;15.03;4.65
28 AVRIL;119;15.08;6.02
29 AVRIL;120;14.76;6.3
30 AVRIL;121;16.29;6.06
01 MAI;122;16.08;5.96
02 MAI;123;16.33;6.52
03 MAI;124;16.65;7.76
04 MAI;125;17.0;7.77
05 MAI;126;16.29;7.6
06 MAI;127;17.96;6.97
07 MAI;128;18.08;7.96
08 MAI;129;18.57;8.88
09 MAI;130;17.95;8.17
10 MAI;131;17.72;7.87
11 MAI;132;19.41;7.43
12 MAI;133;20.2;7.38
13 MAI;134;20.43;8.38
14 MAI;135;18.41;8.77
15 MAI;136;19.28;7.98
16 MAI;137;18.99;8.62
17 MAI;138;19.49;8.26
18 MAI;139;20.28;8.68
19 MAI;140;19.24;8.94
20 MAI;141;19.09;7.98
21 MAI;142;19.21;8.77
22 MAI;143;18.57;8.6
23 MAI;144;18.54;7.96
24 MAI;145;18.68;8.45
25 MAI;146;19.36;10.02
26 MAI;147;19.27;9.3
27 MAI;148;20.12;9.23
28 MAI;149;20.77;9.38
29 MAI;150;20.64;9.26
30 MAI;151;20.03;10.35
31 MAI;152;20.14;10.06
01 JUIN;153;20.41;9.78
02 JUIN;154;20.58;9.84
03 JUIN;155;20.41;10.0
04 JUIN;156;21.21;10.98
05 JUIN;157;21.89;11.57
06 JUIN;158;21.59;11.18
07 JUIN;159;21.64;11.57
08 JUIN;160;21.82;10.71
09 JUIN;161;22.27;11.76
10 JUIN;162;21.48;11.01
11 JUIN;163;22.02;11.43
12 JUIN;164;23.21;10.8
13 JUIN;165;23.58;12.2
14 JUIN;166;23.67;11.87
15 JUIN;167;22.2;11.8
16 JUIN;168;21.75;11.46
17 JUIN;169;21.2;11.83
18 JUIN;170;21.31;11.07
19 JUIN;171;21.57;11.41
20 JUIN;172;21.81;12.62
21 JUIN;173;22.62;11.6
22 JUIN;174;23.37;11.88
23 JUIN;175;22.89;12.31
24 JUIN;176;22.99;12.52
25 JUIN;177;23.67;12.95
26 JUIN;178;22.64;12.43
27 JUIN;179;22.25;11.61
28 JUIN;180;21.64;11.77
29 JUIN;181;21.81;11.88
30 JUIN;182;23.19;11.3
01 JUILLET;183;24.24;12.23
02 JUILLET;184;24.14;12.96
03 JUILLET;185;23.02;12.61
04 JUILLET;186;23.24;12.68
05 JUILLET;187;24.18;12.9
06 JUILLET;188;23.79;12.55
07 JUILLET;189;23.94;12.56
08 JUILLET;190;23.77;13.34
09 JUILLET;191;23.85;13.27
10 JUILLET;192;23.8;13.26
11 JUILLET;193;23.34;13.17
12 JUILLET;194;24.13;12.79
13 JUILLET;195;24.0;13.5
14 JUILLET;196;22.94;12.99
15 JUILLET;197;22.7;12.79
16 JUILLET;198;23.17;13.59
17 JUILLET;199;23.12;13.16
18 JUILLET;200;23.98;13.54
19 JUILLET;201;22.53;13.39
20 JUILLET;202;22.9;12.75
21 JUILLET;203;23.28;12.6
22 JUILLET;204;23.59;12.68
23 JUILLET;205;23.91;12.77
24 JUILLET;206;23.77;12.67
25 JUILLET;207;23.47;12.14
26 JUILLET;208;24.2;13.64
27 JUILLET;209;24.41;13.43
28 JUILLET;210;24.66;13.16
29 JUILLET;211;24.86;12.98
30 JUILLET;212;25.81;13.21
31 JUILLET;213;25.6;13.1
01 AOÛT;214;25.31;13.9
02 AOÛT;215;24.8;13.75
03 AOÛT;216;24.59;14.41
04 AOÛT;217;25.46;13.66
05 AOÛT;218;26.42;13.78
06 AOÛT;219;25.07;13.87
07 AOÛT;220;23.68;13.76
08 AOÛT;221;23.38;12.27
09 AOÛT;222;22.97;13.13
10 AOÛT;223;22.97;13.44
11 AOÛT;224;23.7;12.6
12 AOÛT;225;24.48;13.2
13 AOÛT;226;24.95;13.55
14 AOÛT;227;24.5;14.35
15 AOÛT;228;23.55;13.66
16 AOÛT;229;21.91;12.76
17 AOÛT;230;22.92;12.19
18 AOÛT;231;23.08;12.15
19 AOÛT;232;22.37;13.32
20 AOÛT;233;22.58;11.84
21 AOÛT;234;21.13;11.65
22 AOÛT;235;21.25;11.3
23 AOÛT;236;21.17;10.98
24 AOÛT;237;21.77;10.7
25 AOÛT;238;23.24;10.9
26 AOÛT;239;22.91;11.78
27 AOÛT;240;22.73;11.28
28 AOÛT;241;23.72;11.92
29 AOÛT;242;22.9;12.51
30 AOÛT;243;21.41;11.92
31 AOÛT;244;21.55;11.5
01 SEPTEMBRE;245;22.44;11.35
02 SEPTEMBRE;246;22.0;10.84
03 SEPTEMBRE;247;22.08;11.32
04 SEPTEMBRE;248;21.8;11.84
05 SEPTEMBRE;249;21.45;11.42
06 SEPTEMBRE;250;21.56;11.04
07 SEPTEMBRE;251;22.0;11.17
08 SEPTEMBRE;252;22.15;11.0
09 SEPTEMBRE;253;21.84;11.14
10 SEPTEMBRE;254;21.21;10.65
11 SEPTEMBRE;255;21.1;10.27
12 SEPTEMBRE;256;20.81;10.51
13 SEPTEMBRE;257;19.47;10.1
14 SEPTEMBRE;258;20.57;9.54
15 SEPTEMBRE;259;20.41;10.74
16 SEPTEMBRE;260;21.32;8.68
17 SEPTEMBRE;261;20.15;9.33
18 SEPTEMBRE;262;19.31;9.4
19 SEPTEMBRE;263;19.8;8.61
20 SEPTEMBRE;264;19.72;8.87
21 SEPTEMBRE;265;18.86;9.4
22 SEPTEMBRE;266;19.43;8.58
23 SEPTEMBRE;267;20.49;8.69
24 SEPTEMBRE;268;19.7;8.77
25 SEPTEMBRE;269;19.42;8.91
26 SEPTEMBRE;270;19.29;9.65
27 SEPTEMBRE;271;18.73;9.23
28 SEPTEMBRE;272;18.59;9.89
29 SEPTEMBRE;273;18.52;8.65
30 SEPTEMBRE;274;17.52;9.13
01 OCTOBRE;275;17.45;8.46
02 OCTOBRE;276;17.69;8.66
03 OCTOBRE;277;17.62;8.3
04 OCTOBRE;278;17.31;8.35
05 OCTOBRE;279;18.51;8.96
06 OCTOBRE;280;16.99;8.72
07 OCTOBRE;281;17.62;8.39
08 OCTOBRE;282;17.35;8.02
09 OCTOBRE;283;17.52;8.03
10 OCTOBRE;284;16.97;6.8
11 OCTOBRE;285;15.64;6.9
12 OCTOBRE;286;15.72;7.6
13 OCTOBRE;287;14.45;6.6
14 OCTOBRE;288;14.88;5.99
15 OCTOBRE;289;14.61;6.17
16 OCTOBRE;290;13.66;5.45
17 OCTOBRE;291;13.73;5.12
18 OCTOBRE;292;13.56;4.96
19 OCTOBRE;293;14.12;4.9
20 OCTOBRE;294;13.74;5.09
21 OCTOBRE;295;13.59;5.12
22 OCTOBRE;296;13.76;5.33
23 OCTOBRE;297;13.42;6.13
24 OCTOBRE;298;12.96;6.28
25 OCTOBRE;299;12.38;6.08
26 OCTOBRE;300;12.21;4.64
27 OCTOBRE;301;12.44;5.17
28 OCTOBRE;302;11.53;5.29
29 OCTOBRE;303;11.27;4.49
30 OCTOBRE;304;11.43;4.49
31 OCTOBRE;305;12.25;5.03
01 NOVEMBRE;306;12.4;4.24
02 NOVEMBRE;307;11.4;4.76
03 NOVEMBRE;308;11.26;4.25
04 NOVEMBRE;309;10.37;3.61
05 NOVEMBRE;310;9.88;3.33
06 NOVEMBRE;311;8.86;2.93
07 NOVEMBRE;312;9.82;3.8
08 NOVEMBRE;313;10.13;3.91
09 NOVEMBRE;314;9.55;4.43
10 NOVEMBRE;315;8.75;2.87
11 NOVEMBRE;316;9.1;3.56
12 NOVEMBRE;317;8.32;2.8
13 NOVEMBRE;318;8.67;3.0
14 NOVEMBRE;319;9.07;3.22
15 NOVEMBRE;320;7.99;3.46
16 NOVEMBRE;321;7.77;2.22
17 NOVEMBRE;322;8.57;3.23
18 NOVEMBRE;323;8.76;3.25
19 NOVEMBRE;324;8.05;2.93
20 NOVEMBRE;325;7.9;2.58
21 NOVEMBRE;326;7.74;2.63
22 NOVEMBRE;327;7.46;1.75
23 NOVEMBRE;328;7.23;1.61
24 NOVEMBRE;329;6.74;1.55
25 NOVEMBRE;330;6.29;1.91
26 NOVEMBRE;331;7.25;1.98
27 NOVEMBRE;332;6.37;1.64
28 NOVEMBRE;333;6.2;0.8
29 NOVEMBRE;334;6.13;0.48
30 NOVEMBRE;335;6.07;0.99
01 DÉCEMBRE;336;5.62;0.56
02 DÉCEMBRE;337;5.03;-0.01
03 DÉCEMBRE;338;5.99;0.58
04 DÉCEMBRE;339;5.8;0.5
05 DÉCEMBRE;340;5.35;0.83
06 DÉCEMBRE;341;5.8;-0.15
07 DÉCEMBRE;342;5.16;0.1
08 DÉCEMBRE;343;4.98;0.03
09 DÉCEMBRE;344;5.9;0.94
10 DÉCEMBRE;345;5.77;1.05
11 DÉCEMBRE;346;5.16;1.13
12 DÉCEMBRE;347;5.03;0.5
13 DÉCEMBRE;348;5.12;-0.3
14 DÉCEMBRE;349;5.74;0.17
15 DÉCEMBRE;350;4.79;0.38
16 DÉCEMBRE;351;4.15;-1.14
17 DÉCEMBRE;352;3.37;-1.24
18 DÉCEMBRE;353;3.68;-1.71
19 DÉCEMBRE;354;3.61;-1.54
20 DÉCEMBRE;355;3.41;-1.16
21 DÉCEMBRE;356;4.22;-0.3
22 DÉCEMBRE;357;4.18;-0.43
23 DÉCEMBRE;358;4.86;0.36
24 DÉCEMBRE;359;3.53;0.07
25 DÉCEMBRE;360;3.55;-0.33
26 DÉCEMBRE;361;3.52;-1.4
27 DÉCEMBRE;362;3.17;-0.89
28 DÉCEMBRE;363;3.09;-1.42
