Jour;jour_annee;tmax;tmin
01 JANVIER;1;5.27;-0.18
02 JANVIER;2;4.32;-0.67
03 JANVIER;3;3.36;-1.89
04 JANVIER;4;2.61;-3.63
05 JANVIER;5;2.82;-2.33
06 JANVIER;6;3.31;-2.77
07 JANVIER;7;4.47;-1.38
08 JANVIER;8;4.32;-1.56
09 JANVIER;9;3.8;-0.79
10 JANVIER;10;3.73;-2.11
11 JANVIER;11;6.09;-0.62
12 JANVIER;12;5.52;-0.58
13 JANVIER;13;5.24;-0.46
14 JANVIER;14;4.67;-0.98
15 JANVIER;15;3.29;-0.13
16 JANVIER;16;5.1;-0.38
17 JANVIER;17;5.91;1.14
18 JANVIER;18;6.63;2.02
19 JANVIER;19;7.46;2.52
20 JANVIER;20;8.68;4.06
21 JANVIER;21;7.04;2.7
22 JANVIER;22;6.1;-0.14
23 JANVIER;23;5.1;-0.27
24 JANVIER;24;4.67;-1.42
25 JANVIER;25;4.31;-2.09
26 JANVIER;26;3.63;-2.19
27 JANVIER;27;3.78;-1.82
28 JANVIER;28;5.28;0.6
29 JANVIER;29;5.48;0.16
30 JANVIER;30;4.88;-1.72
31 JANVIER;31;5.11;-1.09
01 FÉVRIER;32;5.67;0.02
02 FÉVRIER;33;6.23;0.59
03 FÉVRIER;34;7.8;0.6
04 FÉVRIER;35;7.98;1.07
05 FÉVRIER;36;8.24;1.13
06 FÉVRIER;37;7.57;1.59
07 FÉVRIER;38;6.14;1.26
08 FÉVRIER;39;6.5;0.42
09 FÉVRIER;40;7.38;0.84
10 FÉVRIER;41;6.86;0.22
11 FÉVRIER;42;6.43;1.47
12 FÉVRIER;43;6.99;0.67
13 FÉVRIER;44;6.1;-0.38
14 FÉVRIER;45;6.09;-0.66
15 FÉVRIER;46;5.62;-0.88
16 FÉVRIER;47;6.67;-0.29
17 FÉVRIER;48;7.06;-1.71
18 FÉVRIER;49;7.31;-1.63
19 FÉVRIER;50;6.92;-1.71
20 FÉVRIER;51;6.9;0.21
21 FÉVRIER;52;7.74;0.54
22 FÉVRIER;53;7.92;1.18
23 FÉVRIER;54;8.19;0.64
24 FÉVRIER;55;8.56;0.29
25 FÉVRIER;56;8.03;0.78
26 FÉVRIER;57;8.13;0.93
27 FÉVRIER;58;8.6;-0.17
28 FÉVRIER;59;8.3;0.96
29 FÉVRIER;60;8.01;0.99
01 MARS;61;7.74;-0.0
02 MARS;62;8.11;-0.28
03 MARS;63;8.77;-1.78
04 MARS;64;7.54;-1.0
05 MARS;65;6.3;-0.87
06 MARS;66;7.26;-0.64
07 MARS;67;8.4;0.91
08 MARS;68;8.86;1.63
09 MARS;69;9.22;-0.03
10 MARS;70;10.19;-0.3
11 MARS;71;9.52;0.78
12 MARS;72;10.54;0.89
13 MARS;73;10.59;2.04
14 MARS;74;12.41;2.17
15 MARS;75;13.41;2.5
16 MARS;76;13.82;2.87
17 MARS;77;14.41;2.66
18 MARS;78;13.97;2.38
19 MARS;79;12.81;2.69
20 MARS;80;11.47;2.87
21 MARS;81;11.07;2.91
22 MARS;82;11.83;2.96
23 MARS;83;11.97;2.04
24 MARS;84;12.88;2.82
25 MARS;85;12.43;3.74
26 MARS;86;12.43;4.37
27 MARS;87;13.2;4.06
28 MARS;88;14.93;4.71
29 MARS;89;14.61;3.56
30 MARS;90;15.2;4.49
31 MARS;91;16.87;3.8
01 AVRIL;92;17.36;3.89
02 AVRIL;93;15.5;5.28
03 AVRIL;94;14.15;4.58
04 AVRIL;95;14.26;3.11
05 AVRIL;96;14.98;3.0
