Jour;jour_annee;tmax;tmin;tmean
01 JANVIER;1;2.26;-2.15;0.22
02 JANVIER;2;2.8;-1.84;0.8
03 JANVIER;3;3.08;-1.31;0.67
04 JANVIER;4;2.48;-2.01;0.08
05 JANVIER;5;2.01;-2.31;0.18
06 JANVIER;6;1.76;-2.32;-0.39
07 JANVIER;7;1.12;-3.07;-0.99
08 JANVIER;8;1.02;-3.39;-0.81
09 JANVIER;9;1.3;-2.87;-0.44
10 JANVIER;10;1.5;-2.37;-0.25
11 JANVIER;11;1.97;-2.5;-0.23
12 JANVIER;12;1.58;-3.51;-1.04
13 JANVIER;13;1.83;-3.42;-0.67
14 JANVIER;14;2.41;-3.14;0.09
15 JANVIER;15;2.26;-2.22;0.21
16 JANVIER;16;2.39;-2.16;0.35
17 JANVIER;17;1.95;-2.39;-0.36
18 JANVIER;18;1.49;-2.98;-0.75
19 JANVIER;19;1.69;-2.97;-0.45
20 JANVIER;20;2.01;-2.25;0.16
21 JANVIER;21;2.65;-1.88;0.54
22 JANVIER;22;3.44;-1.28;1.36
23 JANVIER;23;3.63;-0.51;1.57
24 JANVIER;24;3.05;-0.93;1.07
25 JANVIER;25;3.94;-0.86;1.76
26 JANVIER;26;3.9;-0.55;1.72
27 JANVIER;27;3.99;-0.32;1.89
28 JANVIER;28;3.91;-0.6;1.7
29 JANVIER;29;4.12;-1.17;1.24
30 JANVIER;30;3.73;-0.89;1.66
31 JANVIER;31;3.89;-1.0;1.35
01 FÉVRIER;32;3.94;-2.07;1.12
02 FÉVRIER;33;4.4;-1.49;1.73
03 FÉVRIER;34;3.74;-0.82;1.44
04 FÉVRIER;35;4.21;-1.38;1.15
05 FÉVRIER;36;4.62;-1.14;1.91
06 FÉVRIER;37;5.12;-0.48;2.53
07 FÉVRIER;38;5.25;0.1;2.84
08 FÉVRIER;39;4.93;0.04;2.28
09 FÉVRIER;40;4.62;-0.62;1.79
10 FÉVRIER;41;4.22;-1.22;1.42
11 FÉVRIER;42;3.81;-0.92;1.45
12 FÉVRIER;43;4.24;-1.33;1.54
13 FÉVRIER;44;3.99;-1.25;1.1
14 FÉVRIER;45;3.56;-2.2;0.49
15 FÉVRIER;46;3.72;-2.74;0.39
16 FÉVRIER;47;3.66;-3.06;0.14
17 FÉVRIER;48;3.14;-2.54;0.46
18 FÉVRIER;49;3.76;-1.78;1.04
19 FÉVRIER;50;3.86;-1.57;1.17
20 FÉVRIER;51;4.66;-1.14;1.77
21 FÉVRIER;52;5.29;-1.07;1.99
22 FÉVRIER;53;5.48;-1.41;1.88
23 FÉVRIER;54;5.52;-1.18;1.9
24 FÉVRIER;55;5.68;-1.5;2.2
25 FÉVRIER;56;5.71;-0.92;2.39
26 FÉVRIER;57;5.75;-1.01;2.26
27 FÉVRIER;58;5.77;-1.08;2.29
28 FÉVRIER;59;5.43;-0.8;2.21
29 FÉVRIER;60;5.69;-0.14;2.71
01 MARS;61;6.01;-0.59;2.55
02 MARS;62;5.97;-0.74;2.4
03 MARS;63;6.11;-1.24;2.35
04 MARS;64;5.54;-0.94;2.22
05 MARS;65;6.43;-0.86;2.67
06 MARS;66;6.15;-0.76;2.78
07 MARS;67;6.89;-0.35;3.21
08 MARS;68;7.64;-0.42;3.61
09 MARS;69;8.19;-0.07;4.18
10 MARS;70;8.01;0.81;4.34
11 MARS;71;8.15;1.41;4.47
12 MARS;72;7.89;0.78;4.17
13 MARS;73;7.5;0.95;3.99
14 MARS;74;8.41;1.32;4.79
15 MARS;75;8.98;1.48;5.01
16 MARS;76;8.84;1.73;4.9
17 MARS;77;8.74;1.2;5.09
18 MARS;78;9.0;1.74;4.76
19 MARS;79;7.88;1.36;4.43
20 MARS;80;9.03;1.0;5.18
21 MARS;81;9.78;2.34;5.86
22 MARS;82;9.32;1.81;5.47
23 MARS;83;9.3;1.96;5.58
24 MARS;84;10.48;2.31;6.17
25 MARS;85;10.7;2.71;6.56
26 MARS;86;10.11;2.82;5.99
27 MARS;87;10.25;2.38;6.59
28 MARS;88;10.35;2.74;6.02
29 MARS;89;9.94;2.38;6.02
30 MARS;90;10.25;2.87;6.56
31 MARS;91;10.58;3.26;6.75
01 AVRIL;92;11.41;2.88;7.36
02 AVRIL;93;11.41;3.52;7.25
03 AVRIL;94;10.61;3.06;6.36
04 AVRIL;95;10.16;2.66;6.37
05 AVRIL;96;10.77;2.69;6.8
06 AVRIL;97;11.27;3.38;7.08
07 AVRIL;98;12.18;3.58;7.86
08 AVRIL;99;11.93;3.79;7.32
09 AVRIL;100;11.93;2.72;7.45
10 AVRIL;101;12.39;3.11;7.68
11 AVRIL;102;11.71;3.32;7.21
12 AVRIL;103;10.97;2.98;7.05
13 AVRIL;104;11.94;3.04;7.35
14 AVRIL;105;11.89;2.84;7.51
15 AVRIL;106;13.29;3.78;8.96
16 AVRIL;107;13.85;4.54;9.07
17 AVRIL;108;13.88;4.7;9.36
