Jour;jour_annee;tmax;tmin
01 JANVIER;1;3.1;-1.69
02 JANVIER;2;3.39;-1.5
03 JANVIER;3;3.82;-0.87
04 JANVIER;4;3.12;-1.34
05 JANVIER;5;2.85;-1.9
06 JANVIER;6;2.92;-2.17
07 JANVIER;7;2.1;-2.87
08 JANVIER;8;1.67;-3.53
09 JANVIER;9;2.12;-2.73
10 JANVIER;10;2.51;-2.17
11 JANVIER;11;2.88;-2.68
12 JANVIER;12;1.98;-3.57
13 JANVIER;13;2.59;-4.23
14 JANVIER;14;2.63;-3.87
15 JANVIER;15;2.82;-2.51
16 JANVIER;16;3.23;-2.26
17 JANVIER;17;3.03;-2.84
18 JANVIER;18;1.76;-2.99
19 JANVIER;19;2.14;-3.19
20 JANVIER;20;2.58;-2.75
21 JANVIER;21;2.9;-2.11
22 JANVIER;22;3.92;-1.05
23 JANVIER;23;5.18;-0.29
24 JANVIER;24;4.61;-0.43
25 JANVIER;25;4.9;-0.55
26 JANVIER;26;5.01;-0.54
27 JANVIER;27;5.16;0.09
28 JANVIER;28;4.65;-0.56
29 JANVIER;29;4.99;-0.9
30 JANVIER;30;4.98;-1.22
31 JANVIER;31;4.84;-1.21
01 FÉVRIER;32;4.74;-1.69
02 FÉVRIER;33;5.62;-1.35
03 FÉVRIER;34;4.62;-0.24
04 FÉVRIER;35;4.8;-0.73
05 FÉVRIER;36;5.1;-1.31
06 FÉVRIER;37;6.03;-0.04
07 FÉVRIER;38;6.38;0.07
08 FÉVRIER;39;6.2;0.59
09 FÉVRIER;40;5.4;0.11
10 FÉVRIER;41;4.92;-0.65
11 FÉVRIER;42;5.24;-0.88
12 FÉVRIER;43;5.86;-1.03
13 FÉVRIER;44;5.66;-0.86
14 FÉVRIER;45;4.13;-1.4
15 FÉVRIER;46;3.77;-2.77
16 FÉVRIER;47;3.83;-3.01
17 FÉVRIER;48;4.01;-2.34
18 FÉVRIER;49;4.41;-1.77
19 FÉVRIER;50;4.78;-1.55
20 FÉVRIER;51;5.33;-1.3
21 FÉVRIER;52;5.95;-1.49
22 FÉVRIER;53;5.83;-1.75
23 FÉVRIER;54;5.95;-1.58
24 FÉVRIER;55;6.53;-1.92
25 FÉVRIER;56;6.39;-1.33
26 FÉVRIER;57;6.73;-1.11
27 FÉVRIER;58;6.56;-1.14
28 FÉVRIER;59;6.46;-0.76
29 FÉVRIER;60;6.87;-0.46
01 MARS;61;7.51;-0.38
02 MARS;62;7.79;-0.53
03 MARS;63;7.05;-1.07
04 MARS;64;7.12;-0.94
05 MARS;65;7.57;-0.16
06 MARS;66;8.27;-0.14
07 MARS;67;8.94;-0.08
08 MARS;68;9.5;0.26
09 MARS;69;9.67;0.56
10 MARS;70;9.72;1.67
11 MARS;71;9.32;1.16
12 MARS;72;8.86;0.88
13 MARS;73;9.25;1.49
14 MARS;74;10.4;1.9
15 MARS;75;10.33;1.67
16 MARS;76;10.24;1.16
17 MARS;77;10.28;1.99
18 MARS;78;9.39;2.07
19 MARS;79;9.94;1.06
20 MARS;80;11.09;1.91
21 MARS;81;11.33;1.87
22 MARS;82;10.74;2.0
23 MARS;83;11.81;2.09
24 MARS;84;12.34;2.35
25 MARS;85;12.27;2.56
26 MARS;86;12.11;3.69
27 MARS;87;11.67;3.7
28 MARS;88;11.74;3.29
