Jour;jour_annee;tmax;tmin;tmean
01 JANVIER;1;1.96;-2.16;-0.1
02 JANVIER;2;2.43;-1.76;0.53
03 JANVIER;3;2.48;-1.25;0.37
04 JANVIER;4;2.15;-2.03;-0.3
05 JANVIER;5;1.69;-2.35;0.02
06 JANVIER;6;1.59;-2.32;-0.58
07 JANVIER;7;1.01;-2.84;-1.06
08 JANVIER;8;0.69;-2.93;-0.87
09 JANVIER;9;0.94;-2.72;-0.66
10 JANVIER;10;1.37;-2.2;-0.34
11 JANVIER;11;1.83;-2.27;-0.32
12 JANVIER;12;1.42;-3.25;-1.19
13 JANVIER;13;1.59;-3.28;-0.82
14 JANVIER;14;2.36;-2.97;0.11
15 JANVIER;15;2.23;-2.0;0.05
16 JANVIER;16;2.21;-1.95;0.22
17 JANVIER;17;1.81;-2.32;-0.51
18 JANVIER;18;1.38;-2.91;-0.83
19 JANVIER;19;1.58;-2.78;-0.57
20 JANVIER;20;1.85;-2.16;0.07
21 JANVIER;21;2.46;-1.69;0.43
22 JANVIER;22;3.06;-1.37;1.04
23 JANVIER;23;3.44;-0.64;1.4
24 JANVIER;24;3.02;-0.86;0.91
25 JANVIER;25;3.58;-0.53;1.62
26 JANVIER;26;3.59;-0.44;1.58
27 JANVIER;27;3.7;-0.26;1.57
28 JANVIER;28;3.68;-0.46;1.56
29 JANVIER;29;3.98;-1.14;1.17
30 JANVIER;30;3.62;-1.06;1.46
31 JANVIER;31;3.7;-0.9;1.35
01 FÉVRIER;32;3.73;-1.79;0.89
02 FÉVRIER;33;4.13;-1.4;1.53
03 FÉVRIER;34;3.6;-0.67;1.39
04 FÉVRIER;35;4.02;-1.12;1.23
05 FÉVRIER;36;4.65;-1.05;1.81
06 FÉVRIER;37;4.86;-0.19;2.42
07 FÉVRIER;38;5.05;0.37;2.74
08 FÉVRIER;39;4.81;-0.04;2.17
09 FÉVRIER;40;4.62;-0.63;1.73
10 FÉVRIER;41;4.17;-1.22;1.32
11 FÉVRIER;42;3.7;-1.02;1.27
12 FÉVRIER;43;4.13;-1.35;1.39
13 FÉVRIER;44;3.85;-1.39;0.95
14 FÉVRIER;45;3.22;-2.01;0.3
15 FÉVRIER;46;3.39;-2.58;0.13
16 FÉVRIER;47;3.48;-2.82;0.12
17 FÉVRIER;48;3.2;-2.46;0.31
18 FÉVRIER;49;3.64;-1.88;0.84
19 FÉVRIER;50;3.72;-1.62;0.99
20 FÉVRIER;51;4.57;-1.18;1.66
21 FÉVRIER;52;5.15;-1.16;1.76
22 FÉVRIER;53;5.55;-1.21;1.9
23 FÉVRIER;54;5.49;-1.25;1.69
24 FÉVRIER;55;5.71;-1.13;2.08
25 FÉVRIER;56;5.86;-0.8;2.29
26 FÉVRIER;57;5.51;-0.71;2.18
27 FÉVRIER;58;5.55;-0.93;2.19
28 FÉVRIER;59;5.31;-0.76;2.14
29 FÉVRIER;60;5.81;0.16;2.67
01 MARS;61;5.8;-0.46;2.37
02 MARS;62;5.79;-0.39;2.32
03 MARS;63;6.01;-0.84;2.35
04 MARS;64;5.5;-0.67;2.25
05 MARS;65;6.15;-0.82;2.44
06 MARS;66;6.1;-0.74;2.68
07 MARS;67;6.9;-0.05;3.22
08 MARS;68;7.39;-0.2;3.6
09 MARS;69;8.21;0.46;4.32
10 MARS;70;7.98;0.75;4.44
11 MARS;71;8.28;1.49;4.48
12 MARS;72;7.8;0.98;4.08
13 MARS;73;7.5;0.94;3.9
14 MARS;74;8.16;1.61;4.68
15 MARS;75;8.92;1.63;4.81
16 MARS;76;8.56;1.62;4.8
17 MARS;77;8.51;1.28;4.95
18 MARS;78;8.7;1.79;4.58
19 MARS;79;7.82;1.3;4.21
20 MARS;80;8.6;1.01;4.97
21 MARS;81;9.53;2.34;5.46
22 MARS;82;9.15;1.65;5.19
23 MARS;83;9.25;1.96;5.55
24 MARS;84;10.16;2.59;6.12
25 MARS;85;10.48;2.63;6.33
26 MARS;86;9.93;2.81;5.8
27 MARS;87;9.92;2.35;6.36
28 MARS;88;10.12;2.78;6.01
29 MARS;89;9.71;2.55;5.86
30 MARS;90;9.95;2.92;6.41
31 MARS;91;10.46;3.17;6.63
01 AVRIL;92;11.4;3.07;7.17
02 AVRIL;93;11.23;3.68;7.09
03 AVRIL;94;10.42;3.02;6.09
04 AVRIL;95;9.9;2.6;6.04
05 AVRIL;96;10.6;2.8;6.58
06 AVRIL;97;10.99;3.25;6.87
07 AVRIL;98;12.07;3.37;7.73
08 AVRIL;99;11.73;3.66;7.29
09 AVRIL;100;11.93;3.02;7.51
10 AVRIL;101;12.29;3.66;7.62
11 AVRIL;102;11.62;3.4;7.1
12 AVRIL;103;10.9;3.33;6.85
13 AVRIL;104;11.65;3.07;7.19
14 AVRIL;105;11.78;2.82;7.4
15 AVRIL;106;13.33;3.9;8.94
